Property Title,Property Price,Property URL
"San Francisco, CA 94134","$1,650,000",/realestateandhomes-detail/326-Santa-Ana-Ave_San-Francisco_CA_94127_M17371-94361?from=srp-list-card
"156 Encline CtSan Francisco, CA 94127","$1,595,000",/realestateandhomes-detail/2245-Fulton-St_San-Francisco_CA_94117_M22258-96384?from=srp-list-card
156 Encline Ct,"$799,000",/realestateandhomes-detail/2245-Fulton-St_San-Francisco_CA_94117_M22258-96384?from=srp-list-card
"San Francisco, CA 94127","$778,000",/realestateandhomes-detail/1150-Folsom-St-Unit-2_San-Francisco_CA_94103_M27352-86263?from=srp-list-card
"25 Kiska RdSan Francisco, CA 94124","$2,795,000",/realestateandhomes-detail/1150-Folsom-St-Unit-2_San-Francisco_CA_94103_M27352-86263?from=srp-list-card
25 Kiska Rd,"$625,000",/realestateandhomes-detail/1370-11th-Ave-Apt-6_San-Francisco_CA_94122_M23545-87454?from=srp-list-card
"San Francisco, CA 94124","$2,995,000",/realestateandhomes-detail/1370-11th-Ave-Apt-6_San-Francisco_CA_94122_M23545-87454?from=srp-list-card
"Plan D1, Lofton at Portola CommunitySan Francisco, ca 94134","$545,000",/realestateandhomes-detail/188-Minna-St-Apt-32C_San-Francisco_CA_94105_M19598-85756?from=srp-list-card
"Plan D1, Lofton at Portola Community","$499,000",/realestateandhomes-detail/188-Minna-St-Apt-32C_San-Francisco_CA_94105_M19598-85756?from=srp-list-card
"San Francisco, ca 94134","$2,195,000",/realestateandhomes-detail/146-Portola-Dr-Apt-202_San-Francisco_CA_94131_M93741-65017?from=srp-list-card
"340 Yale StSan Francisco, CA 94134","$1,579,000",/realestateandhomes-detail/146-Portola-Dr-Apt-202_San-Francisco_CA_94131_M93741-65017?from=srp-list-card
340 Yale St,"$995,000",/realestateandhomes-detail/1915-Stockton-St_San-Francisco_CA_94133_M27309-43541?from=srp-list-card
"San Francisco, CA 94134","$2,995,000",/realestateandhomes-detail/1915-Stockton-St_San-Francisco_CA_94133_M27309-43541?from=srp-list-card
"52 Kirkwood Ave Apt 207San Francisco, CA 94124","$1,289,000",/realestateandhomes-detail/1201-Sutter-St-402_San-Francisco_CA_94109_M93429-29117?from=srp-list-card
52 Kirkwood Ave Apt 207,"$1,275,000",/realestateandhomes-detail/1201-Sutter-St-402_San-Francisco_CA_94109_M93429-29117?from=srp-list-card
"San Francisco, CA 94124","$1,150,000",/realestateandhomes-detail/1201-Sutter-St-302_San-Francisco_CA_94109_M97132-87713?from=srp-list-card
"60 Ora Way Unit H307San Francisco, CA 94131","$3,195,000",/realestateandhomes-detail/1201-Sutter-St-302_San-Francisco_CA_94109_M97132-87713?from=srp-list-card
60 Ora Way Unit H307,"$899,500",/realestateandhomes-detail/381-Dolores-St_San-Francisco_CA_94110_M22078-25949?from=srp-list-card
"San Francisco, CA 94131","$860,000",/realestateandhomes-detail/381-Dolores-St_San-Francisco_CA_94110_M22078-25949?from=srp-list-card
"Plan C, Lofton at Portola CommunitySan Francisco, ca 94134","$565,000",/realestateandhomes-detail/450-Hayes-St-8_San-Francisco_CA_94102_M25698-58463?from=srp-list-card
"Plan C, Lofton at Portola Community","$1,360,000",/realestateandhomes-detail/450-Hayes-St-8_San-Francisco_CA_94102_M25698-58463?from=srp-list-card
